Actors,Awards,Box Office,Country,Director,Genre,Rated,Title,Writer(s),Year,imdbRating
"Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell",Won 1 Oscar. Another 19 wins & 80 nominations.,N/A,"USA, UK",Marc Forster,"Biography, Drama, Family",PG,Finding Neverland,"Allan Knee (play), David Magee (screenplay)",2004,7.7
"Jamie Foxx, Kerry Washington, Regina King, Clifton Powell",Won 2 Oscars. Another 52 wins & 54 nominations.,"$75,000,000",USA,Taylor Hackford,"Biography, Drama, Music",PG-13,Ray,"Taylor Hackford (story), James L. White (story), James L. White (screenplay)",2004,7.7
"Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh",Won 1 Oscar. Another 122 wins & 87 nominations.,"$71,444,367","USA, Hungary",Alexander Payne,"Comedy, Drama, Romance",R,Sideways,"Rex Pickett (novel), Alexander Payne (screenplay), Jim Taylor (screenplay)",2004,7.5
"Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche",Won 3 Oscars. Another 138 wins & 128 nominations.,"$82,970,165","USA, Canada",Ang Lee,"Drama, Romance",R,Brokeback Mountain,"Annie Proulx (short story), Larry McMurtry (screenplay), Diana Ossana (screenplay)",2005,7.7
"Allie Mickelson, Kelci Stephenson, Philip Seymour Hoffman, Craig Archibald",Won 1 Oscar. Another 58 wins & 86 nominations.,"$28,337,516","USA, Canada",Bennett Miller,"Biography, Crime, Drama, History",R,Capote,"Dan Futterman (screenplay), Gerald Clarke (book)",2005,7.4
"Jeff Daniels, David Strathairn, Alex Borstein, Rose Abdoo",Nominated for 6 Oscars. Another 38 wins & 121 nominations.,"$31,500,000","USA, France, UK, Japan",George Clooney,"Biography, Drama, History",PG,"Good Night, and Good Luck.","George Clooney, Grant Heslov",2005,7.5
"Eric Bana, Daniel Craig, Ciarán Hinds, Mathieu Kassovitz",Nominated for 5 Oscars. Another 13 wins & 65 nominations.,"$47,379,090","France, Canada, USA",Steven Spielberg,"Drama, History, Thriller",R,Munich,"Tony Kushner (screenplay), Eric Roth (screenplay), George Jonas (book)",2005,7.6
"Brad Pitt, Cate Blanchett, Mohamed Akhzam, Peter Wight",Won 1 Oscar. Another 41 wins & 134 nominations.,"$34,237,104","France, USA, Mexico",Alejandro G. Iñárritu,Drama,R,Babel,"Guillermo Arriaga, Guillermo Arriaga (idea), Alejandro G. Iñárritu (idea)",2006,7.5
"Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryo Kase",Won 1 Oscar. Another 23 wins & 37 nominations.,"$13,600,000",USA,Clint Eastwood,"Drama, History, War",R,Letters from Iwo Jima,"Iris Yamashita (screenplay), Iris Yamashita (story), Paul Haggis (story), Tadamichi Kuribayashi (book), Tsuyoko Yoshido (book)",2006,7.9
"Abigail Breslin, Greg Kinnear, Paul Dano, Alan Arkin",Won 2 Oscars. Another 68 wins & 107 nominations.,"$59,831,476",USA,"Jonathan Dayton, Valerie Faris","Comedy, Drama",R,Little Miss Sunshine,Michael Arndt,2006,7.8
"Helen Mirren, James Cromwell, Alex Jennings, Roger Allam",Won 1 Oscar. Another 94 wins & 95 nominations.,"$56,222,759","UK, USA, France, Italy",Stephen Frears,"Biography, Drama, History",PG-13,The Queen,Peter Morgan,2006,7.3
"Saoirse Ronan, Ailidh Mackay, Brenda Blethyn, Julia West",Won 1 Oscar. Another 50 wins & 146 nominations.,"$50,830,581","UK, France, USA",Joe Wright,"Drama, Mystery, Romance, War",R,Atonement,"Ian McEwan (novel), Christopher Hampton (screenplay)",2007,7.8
"Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman",Won 1 Oscar. Another 89 wins & 95 nominations.,"$143,380,890",USA,Jason Reitman,"Comedy, Drama",PG-13,Juno,Diablo Cody,2007,7.5
"Tom Wilkinson, Michael O'Keefe, Sydney Pollack, Danielle Skraastad",Won 1 Oscar. Another 26 wins & 110 nominations.,"$48,976,323",USA,Tony Gilroy,"Crime, Drama, Mystery",R,Michael Clayton,Tony Gilroy,2007,7.3
"Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer",Won 2 Oscars. Another 106 wins & 136 nominations.,"$40,133,435",USA,Paul Thomas Anderson,Drama,R,There Will Be Blood,"Paul Thomas Anderson (written for the screen by), Upton Sinclair (novel)",2007,8.1
"Cate Blanchett, Brad Pitt, Julia Ormond, Faune Chambers Watkins",Won 3 Oscars. Another 77 wins & 155 nominations.,"$127,490,802",USA,David Fincher,"Drama, Fantasy, Romance",PG-13,The Curious Case of Benjamin Button,"Eric Roth (screenplay), Eric Roth (story), Robin Swicord (story), F. Scott Fitzgerald (short story)",2008,7.8
"Frank Langella, Michael Sheen, Sam Rockwell, Kevin Bacon",Nominated for 5 Oscars. Another 21 wins & 71 nominations.,"$18,600,000","USA, UK, France",Ron Howard,"Biography, Drama, History",R,Frost/Nixon,"Peter Morgan (screenplay), Peter Morgan (play)",2008,7.7
"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna",Won 2 Oscars. Another 61 wins & 141 nominations.,"$31,716,847",USA,Gus Van Sant,"Biography, Drama",R,Milk,Dustin Lance Black,2008,7.6
"Ralph Fiennes, Jeanette Hain, David Kross, Kate Winslet",Won 1 Oscar. Another 25 wins & 47 nominations.,"$34,111,418","USA, Germany",Stephen Daldry,"Drama, Romance",R,The Reader,"David Hare (screenplay), Bernhard Schlink (book)",2008,7.6
"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",Won 3 Oscars. Another 85 wins & 128 nominations.,"$749,700,000","UK, USA",James Cameron,"Action, Adventure, Fantasy, Sci-Fi",PG-13,Avatar,James Cameron,2009,7.8
"Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head",Won 1 Oscar. Another 7 wins & 30 nominations.,"$255,900,000",USA,John Lee Hancock,"Biography, Drama, Sport",PG-13,The Blind Side,"John Lee Hancock, Michael Lewis (book)",2009,7.7
"Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike",Nominated for 4 Oscars. Another 30 wins & 110 nominations.,"$115,646,235","South Africa, USA, New Zealand, Canada",Neill Blomkamp,"Sci-Fi, Thriller",R,District 9,"Neill Blomkamp, Terri Tatchell",2009,7.9
"Carey Mulligan, Olivia Williams, Alfred Molina, Cara Seymour",Nominated for 3 Oscars. Another 35 wins & 91 nominations.,"$12,512,069","UK, USA",Lone Scherfig,Drama,PG-13,An Education,"Lynn Barber (memoir), Nick Hornby (screenplay)",2009,7.3
"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth",Won 1 Oscar. Another 129 wins & 165 nominations.,"$120,523,073","Germany, USA","Quentin Tarantino, Eli Roth","Adventure, Drama, War",R,Inglourious Basterds,Quentin Tarantino,2009,8.3
"Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick",Nominated for 2 Oscars. Another 17 wins & 72 nominations.,"$9,190,525","USA, UK, France","Ethan Coen, Joel Coen","Comedy, Drama",R,A Serious Man,"Joel Coen, Ethan Coen",2009,7.0
"Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson",Won 2 Oscars. Another 74 wins & 81 nominations.,"$292,979,556",USA,"Pete Docter, Bob Peterson(co-director)","Animation, Adventure, Comedy, Family",PG,Up,"Pete Docter (story by), Bob Peterson (story by), Tom McCarthy (story by), Bob Peterson (screenplay by), Pete Docter (screenplay by)",2009,8.3
"George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman",Nominated for 6 Oscars. Another 76 wins & 158 nominations.,"$83,775,048",USA,Jason Reitman,"Drama, Romance",R,Up in the Air,"Walter Kirn (novel), Jason Reitman (screenplay), Sheldon Turner (screenplay)",2009,7.4
"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",Won 1 Oscar. Another 91 wins & 257 nominations.,"$106,952,327",USA,Darren Aronofsky,"Drama, Thriller",R,Black Swan,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)",2010,8.0
"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo",Won 2 Oscars. Another 72 wins & 116 nominations.,"$93,571,803",USA,David O. Russell,"Biography, Drama, Sport",R,The Fighter,"Scott Silver (screenplay), Paul Tamasy (screenplay), Eric Johnson (screenplay), Paul Tamasy (story), Eric Johnson (story), Keith Dorrington (story)",2010,7.8
"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Won 4 Oscars. Another 152 wins & 204 nominations.,"$292,568,851","USA, UK",Christopher Nolan,"Action, Adventure, Sci-Fi, Thriller",PG-13,Inception,Christopher Nolan,2010,8.8
"Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska",Nominated for 4 Oscars. Another 28 wins & 120 nominations.,"$20,803,237",USA,Lisa Cholodenko,"Comedy, Drama, Romance",R,The Kids Are All Right,"Lisa Cholodenko, Stuart Blumberg",2010,7.0
"James Franco, Kate Mara, Amber Tamblyn, Sean Bott",Nominated for 6 Oscars. Another 23 wins & 141 nominations.,"$18,329,466","USA, UK, France",Danny Boyle,"Adventure, Biography, Drama, Thriller",R,127 Hours,"Danny Boyle (screenplay), Simon Beaufoy (screenplay), Aron Ralston (book)",2010,7.6
"Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons",Won 3 Oscars. Another 165 wins & 168 nominations.,"$96,400,000",USA,David Fincher,"Biography, Drama",PG-13,The Social Network,"Aaron Sorkin (screenplay), Ben Mezrich (book)",2010,7.7
"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",Won 2 Oscars. Another 58 wins & 91 nominations.,"$414,984,497",USA,Lee Unkrich,"Animation, Adventure, Comedy, Family, Fantasy",G,Toy Story 3,"John Lasseter (story by), Andrew Stanton (story by), Lee Unkrich (story by), Michael Arndt (screenplay by)",2010,8.3
"Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",Nominated for 10 Oscars. Another 37 wins & 153 nominations.,"$171,031,347",USA,"Ethan Coen, Joel Coen","Adventure, Drama, Western",PG-13,True Grit,"Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)",2010,7.6
"Jennifer Lawrence, Isaiah Stone, Ashlee Thompson, Valerie Richards",Nominated for 4 Oscars. Another 63 wins & 120 nominations.,"$6,200,000",USA,Debra Granik,"Drama, Mystery",R,Winter's Bone,"Debra Granik (screenplay), Anne Rosellini (screenplay), Daniel Woodrell (novel)",2010,7.2
"George Clooney, Shailene Woodley, Amara Miller, Nick Krause",Won 1 Oscar. Another 66 wins & 142 nominations.,"$78,500,000",USA,Alexander Payne,"Comedy, Drama",R,The Descendants,"Alexander Payne (screenplay), Nat Faxon (screenplay), Jim Rash (screenplay), Kaui Hart Hemmings (novel)",2011,7.3
"Tom Hanks, Thomas Horn, Sandra Bullock, Zoe Caldwell",Nominated for 2 Oscars. Another 8 wins & 23 nominations.,"$31,836,745",USA,Stephen Daldry,"Adventure, Drama, Mystery",PG-13,Extremely Loud & Incredibly Close,"Eric Roth (screenplay), Jonathan Safran Foer (novel)",2011,6.9
"Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer",Won 1 Oscar. Another 79 wins & 116 nominations.,"$169,705,587","USA, India, United Arab Emirates",Tate Taylor,Drama,PG-13,The Help,"Tate Taylor (screenplay), Kathryn Stockett (novel)",2011,8.1
"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz",Won 5 Oscars. Another 57 wins & 186 nominations.,"$73,820,094","USA, UK",Martin Scorsese,"Adventure, Drama, Family, Fantasy, Mystery, Romance",PG,Hugo,"John Logan (screenplay by), Brian Selznick (based on the book entitled ""The Invention of Hugo Cabret"" by)",2011,7.5
"Owen Wilson, Rachel McAdams, Kurt Fuller, Mimi Kennedy",Won 1 Oscar. Another 24 wins & 101 nominations.,"$55,400,000","Spain, USA, France",Woody Allen,"Comedy, Fantasy, Romance",PG-13,Midnight in Paris,Woody Allen,2011,7.7
"Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright",Nominated for 6 Oscars. Another 29 wins & 75 nominations.,"$75,605,492",USA,Bennett Miller,"Biography, Drama, Sport",PG-13,Moneyball,"Steven Zaillian (screenplay), Aaron Sorkin (screenplay), Stan Chervin (story), Michael Lewis (book)",2011,7.6
"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken",Nominated for 3 Oscars. Another 111 wins & 117 nominations.,"$13,303,319",USA,Terrence Malick,"Drama, Fantasy",PG-13,The Tree of Life,Terrence Malick,2011,6.8
"Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup",Nominated for 6 Oscars. Another 15 wins & 70 nominations.,"$79,883,359","USA, India",Steven Spielberg,"Drama, History, War",PG-13,War Horse,"Lee Hall (screenplay), Richard Curtis (screenplay), Michael Morpurgo (novel), Nick Stafford (stage play)",2011,7.2
"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud",Won 1 Oscar. Another 77 wins & 103 nominations.,"$6,700,000","Austria, France, Germany",Michael Haneke,"Drama, Romance",PG-13,Amour,Michael Haneke (screenplay),2012,7.9
"Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes",Nominated for 4 Oscars. Another 92 wins & 123 nominations.,"$12,784,397",USA,Benh Zeitlin,"Adventure, Drama, Fantasy",PG-13,Beasts of the Southern Wild,"Lucy Alibar (screenplay), Benh Zeitlin (screenplay), Lucy Alibar (stage play ""Juicy and Delicious"")",2012,7.3
"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",Won 2 Oscars. Another 56 wins & 151 nominations.,"$162,804,648",USA,Quentin Tarantino,"Drama, Western",R,Django Unchained,Quentin Tarantino,2012,8.4
"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried",Won 3 Oscars. Another 81 wins & 172 nominations.,"$148,775,460","UK, USA, France",Tom Hooper,"Drama, History, Musical, Romance, War",PG-13,Les Misérables,"William Nicholson (screenplay by), Alain Boublil (screenplay by), Claude-Michel Schönberg (screenplay by), Herbert Kretzmer (screenplay by), Alain Boublil (based on the original stage musical ""Les Misérables""), Claude-Michel Schönberg (based on the original stage musical ""Les Misérables""), Victor Hugo (based on the novel by)",2012,7.6
"Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur",Won 4 Oscars. Another 78 wins & 129 nominations.,"$103,500,000","USA, Taiwan, UK, Canada",Ang Lee,"Adventure, Drama, Fantasy",PG,Life of Pi,"Yann Martel (novel), David Magee (screenplay)",2012,7.9
"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",Won 2 Oscars. Another 108 wins & 242 nominations.,"$129,477,447","USA, India",Steven Spielberg,"Biography, Drama, History, War",PG-13,Lincoln,"Tony Kushner (screenplay by), Doris Kearns Goodwin (based in part on the book ""Team of Rivals: The Political Genius of Abraham Lincoln"" by)",2012,7.4
"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",Won 1 Oscar. Another 88 wins & 145 nominations.,"$132,088,910",USA,David O. Russell,"Comedy, Drama, Romance",R,Silver Linings Playbook,"David O. Russell (screenplay), Matthew Quick (novel)",2012,7.7
"Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler",Won 1 Oscar. Another 87 wins & 171 nominations.,"$95,720,716",USA,Kathryn Bigelow,"Drama, Thriller",R,Zero Dark Thirty,Mark Boal,2012,7.4
"Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner",Nominated for 10 Oscars. Another 70 wins & 208 nominations.,"$99,165,609",USA,David O. Russell,"Crime, Drama",R,American Hustle,"Eric Warren Singer, David O. Russell",2013,7.3
"Tom Hanks, Catherine Keener, Barkhad Abdi, Barkhad Abdirahman",Nominated for 6 Oscars. Another 16 wins & 144 nominations.,"$107,100,855",USA,Paul Greengrass,"Biography, Drama, Thriller",PG-13,Captain Phillips,"Billy Ray (screenplay), Richard Phillips (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by), Stephan Talty (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by)",2013,7.8
"Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare",Won 3 Oscars. Another 81 wins & 81 nominations.,"$23,750,994",USA,Jean-Marc Vallée,"Biography, Drama",R,Dallas Buyers Club,"Craig Borten, Melisa Wallack",2013,8.0
"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",Won 7 Oscars. Another 232 wins & 175 nominations.,"$274,084,951","UK, USA",Alfonso Cuarón,"Drama, Sci-Fi, Thriller",PG-13,Gravity,"Alfonso Cuarón, Jonás Cuarón",2013,7.7
"Joaquin Phoenix, Lynn Adrianna, Lisa Renee Pitts, Gabe Gomez",Won 1 Oscar. Another 82 wins & 181 nominations.,"$17,901,029",USA,Spike Jonze,"Drama, Romance, Sci-Fi",R,Her,Spike Jonze,2013,8.0
"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk",Nominated for 6 Oscars. Another 28 wins & 157 nominations.,"$11,348,612",USA,Alexander Payne,"Adventure, Comedy, Drama",R,Nebraska,Bob Nelson,2013,7.7
"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham",Nominated for 4 Oscars. Another 32 wins & 76 nominations.,N/A,"UK, USA, France",Stephen Frears,"Biography, Drama",PG-13,Philomena,"Steve Coogan (screenplay), Jeff Pope (screenplay), Martin Sixsmith (book)",2013,7.6
"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",Nominated for 5 Oscars. Another 38 wins & 165 nominations.,"$91,330,760",USA,Martin Scorsese,"Biography, Comedy, Crime, Drama",R,The Wolf of Wall Street,"Terence Winter (screenplay), Jordan Belfort (book)",2013,8.2
"Bradley Cooper, Kyle Gallner, Cole Konis, Ben Reed",Won 1 Oscar. Another 23 wins & 42 nominations.,"$274,377,268",USA,Clint Eastwood,"Action, Biography, Drama, History, Thriller, War",R,American Sniper,"Jason Hall, Chris Kyle (book), Scott McEwen (book), Jim DeFelice (book)",2014,7.3
"Ellar Coltrane, Patricia Arquette, Elijah Smith, Lorelei Linklater",Won 1 Oscar. Another 171 wins & 209 nominations.,"$18,859,617",USA,Richard Linklater,Drama,R,Boyhood,Richard Linklater,2014,7.9
"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody",Won 4 Oscars. Another 127 wins & 218 nominations.,"$56,939,515","USA, Germany",Wes Anderson,"Adventure, Comedy, Drama",R,The Grand Budapest Hotel,"Stefan Zweig (inspired by the writings of), Wes Anderson (screenplay), Wes Anderson (story), Hugo Guinness (story)",2014,8.1
"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear",Won 1 Oscar. Another 46 wins & 155 nominations.,N/A,USA,Morten Tyldum,"Biography, Drama, Thriller, War",PG-13,The Imitation Game,"Graham Moore, Andrew Hodges (book)",2014,8.0
"David Oyelowo, Carmen Ejogo, Jim France, Trinity Simone",Won 1 Oscar. Another 58 wins & 88 nominations.,N/A,"UK, USA, France",Ava DuVernay,"Biography, Drama, History",PG-13,Selma,Paul Webb,2014,7.5
"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",Won 1 Oscar. Another 24 wins & 121 nominations.,"$35,887,263","UK, Japan, USA",James Marsh,"Biography, Drama, Romance",PG-13,The Theory of Everything,"Anthony McCarten (screenplay), Jane Hawking (book)",2014,7.7
"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist",Won 3 Oscars. Another 89 wins & 136 nominations.,N/A,USA,Damien Chazelle,"Drama, Music",R,Whiplash,Damien Chazelle,2014,8.5
"Ryan Gosling, Rudy Eisenzopf, Casey Groves, Charlie Talbert",Won 1 Oscar. Another 37 wins & 79 nominations.,N/A,USA,Adam McKay,"Biography, Comedy, Drama, History",R,The Big Short,"Charles Randolph (screenplay by), Adam McKay (screenplay by), Michael Lewis (based upon the book by)",2015,7.8
"Mark Rylance, Domenick Lombardozzi, Victor Verhaeghe, Mark Fichera",Won 1 Oscar. Another 30 wins & 99 nominations.,N/A,"Germany, India, USA",Steven Spielberg,"Drama, History, Thriller",PG-13,Bridge of Spies,"Matt Charman, Ethan Coen, Joel Coen",2015,7.6
"Saoirse Ronan, Hugh Gormley, Brid Brennan, Maeve McGrath",Nominated for 3 Oscars. Another 37 wins & 152 nominations.,"$30,459,009","UK, Canada, Ireland, Belgium",John Crowley,"Drama, Romance",PG-13,Brooklyn,"Nick Hornby, Colm Tóibín (novel)",2015,7.5
"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",Won 6 Oscars. Another 232 wins & 219 nominations.,"$129,483,877","Australia, USA",George Miller,"Action, Adventure, Sci-Fi, Thriller",R,Mad Max: Fury Road,"George Miller, Brendan McCarthy, Nick Lathouris",2015,8.1
"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels",Nominated for 7 Oscars. Another 37 wins & 185 nominations.,"$202,313,768","UK, USA",Ridley Scott,"Adventure, Drama, Sci-Fi",PG-13,The Martian,"Drew Goddard (screenplay by), Andy Weir (based on the novel by)",2015,8.0
"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter",Won 3 Oscars. Another 86 wins & 181 nominations.,N/A,"USA, Hong Kong, Taiwan",Alejandro G. Iñárritu,"Action, Adventure, Biography, Drama, Western",R,The Revenant,"Mark L. Smith (screenplay), Alejandro G. Iñárritu (screenplay), Michael Punke (based in part on the novel by)",2015,8.0
"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson",Won 1 Oscar. Another 103 wins & 136 nominations.,"$14,677,654","Ireland, Canada, UK, USA",Lenny Abrahamson,"Drama, Thriller",R,Room,"Emma Donoghue (screenplay by), Emma Donoghue (based on the novel by)",2015,8.2
