Actors,Awards,Box Office,Country,Director,Genre,Rated,Title,Writer(s),Year,imdbRating
"Barbara Hershey, Carrie Fisher, Michael Caine, Mia Farrow",Won 3 Oscars. Another 22 wins & 27 nominations.,N/A,USA,Woody Allen,"Comedy, Drama",PG-13,Hannah and Her Sisters,Woody Allen,1986,7.9
"Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn",Won 1 Oscar. Another 12 wins & 27 nominations.,N/A,"UK, France",Roland Joffé,"Adventure, Drama, History",PG,The Mission,Robert Bolt (original story & screenplay),1986,7.5
"Maggie Smith, Helena Bonham Carter, Denholm Elliott, Julian Sands",Won 3 Oscars. Another 21 wins & 23 nominations.,N/A,UK,James Ivory,"Drama, Romance",NOT RATED,A Room with a View,"E.M. Forster (novel), Ruth Prawer Jhabvala (screenplay)",1985,7.4
"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky",Nominated for 7 Oscars. Another 13 wins & 16 nominations.,N/A,USA,James L. Brooks,"Comedy, Drama, Romance",R,Broadcast News,James L. Brooks,1987,7.2
"Michael Douglas, Glenn Close, Anne Archer, Ellen Latzen",Nominated for 6 Oscars. Another 7 wins & 16 nominations.,N/A,USA,Adrian Lyne,"Drama, Thriller",R,Fatal Attraction,"James Dearden (screenplay), James Dearden (short film)",1987,6.9
"Sebastian Rice-Edwards, Geraldine Muir, Sarah Miles, David Hayman",Nominated for 5 Oscars. Another 16 wins & 24 nominations.,N/A,"UK, USA",John Boorman,"Comedy, Drama, Romance",PG-13,Hope and Glory,John Boorman,1987,7.4
"Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis",Won 3 Oscars. Another 15 wins & 19 nominations.,N/A,USA,Norman Jewison,"Comedy, Drama, Romance",PG,Moonstruck,John Patrick Shanley,1987,7.1
"William Hurt, Kathleen Turner, Geena Davis, Amy Wright",Won 1 Oscar. Another 3 wins & 10 nominations.,N/A,USA,Lawrence Kasdan,"Drama, Romance",PG,The Accidental Tourist,"Anne Tyler (book), Frank Galati (screenplay), Lawrence Kasdan (screenplay)",1988,6.8
"Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz",Won 3 Oscars. Another 16 wins & 20 nominations.,N/A,"USA, UK",Stephen Frears,"Drama, Romance",R,Dangerous Liaisons,"Christopher Hampton (play), Choderlos de Laclos (novel), Christopher Hampton (screenplay)",1988,7.6
"Gene Hackman, Willem Dafoe, Frances McDormand, Brad Dourif",Won 1 Oscar. Another 16 wins & 24 nominations.,N/A,USA,Alan Parker,"Crime, Drama, History",R,Mississippi Burning,Chris Gerolmo,1988,7.8
"Harrison Ford, Sigourney Weaver, Melanie Griffith, Alec Baldwin",Won 1 Oscar. Another 8 wins & 17 nominations.,N/A,USA,Mike Nichols,"Comedy, Drama, Romance",R,Working Girl,Kevin Wade,1988,6.8
"Tom Cruise, Raymond J. Barry, Caroline Kava, Josh Evans",Won 2 Oscars. Another 13 wins & 25 nominations.,N/A,USA,Oliver Stone,"Biography, Drama, War",R,Born on the Fourth of July,"Ron Kovic (book), Oliver Stone (screenplay), Ron Kovic (screenplay)",1989,7.2
"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",Won 1 Oscar. Another 18 wins & 18 nominations.,N/A,USA,Peter Weir,"Comedy, Drama",PG,Dead Poets Society,Tom Schulman,1989,8.1
"Kevin Costner, Amy Madigan, Gaby Hoffmann, Ray Liotta",Nominated for 3 Oscars. Another 7 wins & 10 nominations.,N/A,USA,Phil Alden Robinson,"Drama, Family, Fantasy, Sport",PG,Field of Dreams,"W.P. Kinsella (book), Phil Alden Robinson (screenplay)",1989,7.5
"Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan",Won 2 Oscars. Another 21 wins & 20 nominations.,N/A,"Ireland, UK",Jim Sheridan,"Biography, Drama",R,My Left Foot,"Shane Connaughton (screenplay), Jim Sheridan (screenplay), Christy Brown (novel)",1989,7.9
"Robert De Niro, Robin Williams, Julie Kavner, Ruth Nelson",Nominated for 3 Oscars. Another 6 wins & 8 nominations.,N/A,USA,Penny Marshall,"Biography, Drama",PG-13,Awakenings,"Oliver Sacks (book), Steven Zaillian (screenplay)",1990,7.8
"Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn",Won 2 Oscars. Another 16 wins & 23 nominations.,N/A,USA,Jerry Zucker,"Drama, Fantasy, Romance",PG-13,Ghost,Bruce Joel Rubin,1990,7.0
"Al Pacino, Diane Keaton, Talia Shire, Andy Garcia",Nominated for 7 Oscars. Another 6 wins & 15 nominations.,N/A,USA,Francis Ford Coppola,"Crime, Drama",R,The Godfather: Part III,"Mario Puzo, Francis Ford Coppola",1990,7.6
"Aj Bediako, Kwame Augustine, Andrew Prince Boateng, Michael Bordom",N/A,N/A,UK,"Robert Cairns, Fabien Soazandry",Comedy,N/A,Good Fellas,"Andrew Prince Boateng (creator), Andrew Prince Boateng",2017,N/A
"Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury",Won 2 Oscars. Another 24 wins & 25 nominations.,"$47,611,331",USA,"Gary Trousdale, Kirk Wise","Animation, Family, Fantasy, Musical, Romance",G,Beauty and the Beast,"Linda Woolverton (animation screenplay by), Brenda Chapman (story by), Chris Sanders (story by), Burny Mattinson (story by), Kevin Harkey (story by), Brian Pimental (story by), Bruce Woodside (story by), Joe Ranft (story by), Tom Ellery (story by), Kelly Asbury (story by), Robert Lence (story by)",1991,8.0
"Warren Beatty, Annette Bening, Harvey Keitel, Ben Kingsley",Won 2 Oscars. Another 10 wins & 38 nominations.,N/A,USA,Barry Levinson,"Biography, Crime, Drama",R,Bugsy,"James Toback, Dean Jennings (book)",1991,6.8
