Year,Ceremony,Award,Winner,Title,Company,Revenue,Budget,Runtime,Vote Average,Vote Count,Popularity,Genre,Release Date,Movie ID
1967,40,Best Picture,0,Doctor Dolittle,APJAC Productions,9000000,18000000,152,6.0,64,4.65,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",1967-12-19,16081
1967,40,Best Picture,0,The Graduate,Lawrence Turman,104945305,3000000,106,7.7,1316,6.593,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1967-12-21,37247
1967,40,Best Picture,0,Guess Who's Coming to Dinner,Stanley Kramer Productions,56666667,4000000,108,7.7,276,5.91,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1967-12-11,1879
1967,40,Best Picture,1,In the Heat of the Night,United Artists,27379978,2000000,109,7.7,339,5.801,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1967-08-02,10633
1968,41,Best Picture,0,Funny Girl,Rastar Productions,52223306,14000000,149,7.1,136,4.613,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1968-09-19,16085
1968,41,Best Picture,0,The Lion in Winter,AVCO Embassy Pictures,0,0,134,7.6,122,5.835,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1968-01-01,18988
1968,41,Best Picture,1,Oliver!,Warwick Film Productions,37402877,10000000,153,7.1,157,5.555,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}]",1968-09-26,17917
1968,41,Best Picture,0,"Rachel, Rachel",Kayos Productions,0,0,101,6.6,20,1.258,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1968-01-01,42635
1968,41,Best Picture,0,Romeo and Juliet,Paramount,38901218,0,138,7.4,240,5.036,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1968-04-02,6003
1969,42,Best Picture,0,Anne of the Thousand Days,Hal Wallis Productions,0,0,145,7.1,42,2.962,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",1969-12-18,22522
1969,42,Best Picture,0,Butch Cassidy and the Sundance Kid,Campanile Productions,102308889,6000000,111,7.6,911,7.445,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 37, 'name': 'Western'}, {'id': 35, 'name': 'Comedy'}]",1969-09-23,642
1969,42,Best Picture,0,"Hello, Dolly!",Chenault Productions,33208099,24000000,146,7.0,90,4.682,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",1969-12-12,14030
1969,42,Best Picture,1,Midnight Cowboy,Florin Productions,44785053,3600000,113,7.6,476,6.422,"[{'id': 18, 'name': 'Drama'}]",1969-05-25,3116
1969,42,Best Picture,0,Z,Valoria Films,83305,0,127,8.1,145,6.69,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}]",1969-02-26,2721
1970,43,Best Picture,0,Airport,Universal Pictures,100489151,10000000,137,6.4,136,5.233,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1970-03-05,10671
1970,43,Best Picture,0,Five Easy Pieces,Raybert Productions,0,0,98,7.3,176,5.432,"[{'id': 18, 'name': 'Drama'}]",1970-09-12,26617
1970,43,Best Picture,0,Love Story,Paramount,136400000,2200000,99,6.6,213,4.932,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1970-12-16,9062
1970,43,Best Picture,1,M*A*S*H,Aspen Productions (I),81600000,3500000,116,7.0,353,6.649,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1970-01-24,651
1970,43,Best Picture,1,Patton,20th Century Fox,89800000,12000000,172,7.4,461,6.648,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",1970-01-25,11202
1971,44,Best Picture,0,A Clockwork Orange,Warner Bros. Pictures,26589000,2200000,136,8.2,5695,13.513,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",1971-12-18,185
1971,44,Best Picture,0,Fiddler on the Roof,United Artists,83304330,9000000,181,7.8,188,6.226,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1971-11-03,14811
1971,44,Best Picture,1,The French Connection,D'Antoni Productions,41158757,1800000,104,7.5,654,6.499,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1971-10-09,1051
1971,44,Best Picture,0,The Last Picture Show,BBS Productions,29133000,1300000,119,7.8,213,5.122,"[{'id': 18, 'name': 'Drama'}]",1971-10-02,25188
1971,44,Best Picture,0,Nicholas and Alexandra,Columbia Pictures,0,0,189,7.3,23,2.669,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1971-11-29,38646
1972,45,Best Picture,0,Cabaret,Allied Artists Pictures,0,6000000,124,7.5,337,5.988,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",1972-02-13,10784
1972,45,Best Picture,0,Deliverance,Elmer Enterprises,46122355,2000000,109,7.3,639,5.869,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1972-07-30,10669
1972,45,Best Picture,0,Utvandrarna,Svensk Filmindustri (SF),0,0,191,7.0,36,3.01,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",1971-03-08,40732
1972,45,Best Picture,1,The Godfather,Paramount,245066411,6000000,175,8.6,8795,20.842,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1972-03-14,238
1972,45,Best Picture,0,Sounder,Radnitz/Mattel Productions,0,0,105,7.3,13,1.046,"[{'id': 18, 'name': 'Drama'}]",1972-09-24,42489
1973,46,Best Picture,0,American Graffiti,Universal Pictures,140000000,777000,110,7.1,539,6.732,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1973-08-01,838
1973,46,Best Picture,0,Double Indemnity,Paramount,2500000,927262,107,8.2,644,5.554,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1944-04-24,996
1973,46,Best Picture,0,The Exorcist,Hoya Productions,441306145,8000000,122,7.6,3328,10.25,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",1973-12-26,9552
1973,46,Best Picture,1,The Sting,Universal Pictures,159616327,5500000,129,8.0,975,5.865,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1973-12-25,9277
1973,46,Best Picture,0,A Touch of Class,Brut Productions,0,0,106,6.4,19,2.043,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1973-01-01,42458
1974,47,Best Picture,0,Chinatown,Paramount,30000000,6000000,130,7.9,1484,7.939,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1974-06-20,829
1974,47,Best Picture,0,The Conversation,Paramount,4420000,1600000,113,7.6,546,5.858,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",1974-04-07,592
1974,47,Best Picture,1,The Godfather: Part II,Paramount,102600000,13000000,200,8.5,5116,17.917,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1974-12-20,240
1974,47,Best Picture,0,Lenny,Marvin Worth Productions,0,0,111,7.4,70,3.817,"[{'id': 18, 'name': 'Drama'}]",1974-11-10,27094
1974,47,Best Picture,0,The Towering Inferno,United Films,116000000,14000000,159,7.1,346,6.859,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1974-12-14,5919
1975,48,Best Picture,0,Barry Lyndon,Hawk Films,20000000,11000000,184,7.9,941,6.094,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",1975-11-26,3175
1975,48,Best Picture,0,Dog Day Afternoon,Artists Entertainment Complex,46665856,1800000,125,7.8,1062,7.752,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1975-08-11,968
1975,48,Best Picture,0,Jaws,Zanuck/Brown Productions,470700000,7000000,124,7.6,4219,13.475,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",1975-06-18,578
1975,48,Best Picture,0,Nashville,American Broadcasting Company (ABC),0,2200000,160,7.4,127,5.547,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]",1975-06-11,3121
1975,48,Best Picture,1,One Flew Over the Cuckoo's Nest,United Artists,108981275,3000000,133,8.4,4758,17.614,"[{'id': 18, 'name': 'Drama'}]",1975-11-18,510
1976,49,Best Picture,0,All the President's Men,Wildwood Enterprises,70600000,8500000,138,7.7,645,12.847,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1976-04-04,891
1976,49,Best Picture,0,Bound for Glory,United Artists,0,0,147,7.3,24,2.907,"[{'id': 10402, 'name': 'Music'}]",1976-12-05,42232
1976,49,Best Picture,0,Network,United Artists,23689877,3800000,122,8.0,607,4.684,"[{'id': 18, 'name': 'Drama'}]",1976-11-01,10774
1976,49,Best Picture,1,Rocky,Winkler Films,117235147,1000000,119,7.6,3095,16.455,"[{'id': 18, 'name': 'Drama'}]",1976-11-21,1366
1976,49,Best Picture,0,Taxi Driver,Italo/Judeo Productions,28262574,1300000,114,8.1,4403,10.652,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1976-02-07,103
1977,50,Best Picture,1,Annie Hall,United Artists,38251425,4000000,93,7.8,1685,8.666,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1977-04-19,703
1977,50,Best Picture,0,The Goodbye Girl,Rastar Pictures,102000000,0,111,7.1,51,2.393,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1977-11-30,14741
1977,50,Best Picture,0,Julia,20th Century Fox,0,0,117,6.9,43,3.41,"[{'id': 18, 'name': 'Drama'}]",1977-10-02,42222
1977,50,Best Picture,0,Star Wars,Lucasfilm,775398007,11000000,121,8.2,10160,25.026,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1977-05-25,11
1977,50,Best Picture,0,The Turning Point,Hera Productions,0,0,119,6.4,21,1.529,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1977-11-14,61280
1978,51,Best Picture,0,Coming Home,United Artists,0,3000000,127,7.2,62,2.819,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",1978-02-15,31657
1978,51,Best Picture,1,The Deer Hunter,Universal Pictures,50000000,15000000,183,8.0,1503,8.012,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1978-12-08,11778
1978,51,Best Picture,0,Heaven Can Wait,Paramount,0,0,101,6.5,133,4.842,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",1978-06-28,12185
1978,51,Best Picture,0,Midnight Express,Columbia Pictures,35000000,2300000,121,7.7,532,5.635,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1978-09-12,11327
1978,51,Best Picture,0,An Unmarried Woman,20th Century Fox,24000000,2515000,124,6.7,21,1.342,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",1978-05-26,38731
1979,52,Best Picture,0,All That Jazz,Columbia Pictures,37823676,0,123,7.3,133,4.634,"[{'id': 18, 'name': 'Drama'}]",1979-12-20,16858
1979,52,Best Picture,0,Apocalypse Now,United Artists,89460381,31500000,147,8.2,3354,12.137,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1979-08-15,28
1979,52,Best Picture,0,Breaking Away,20th Century Fox,20000000,2300000,100,7.4,98,5.586,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",1979-05-24,20283
1979,52,Best Picture,1,Kramer vs. Kramer,Columbia Pictures,106260000,8000000,105,7.5,811,6.23,"[{'id': 18, 'name': 'Drama'}]",1979-12-18,12102
1979,52,Best Picture,0,Norma Rae,20th Century Fox,22228000,0,110,7.2,51,3.084,"[{'id': 18, 'name': 'Drama'}]",1979-03-02,40842
1980,53,Best Picture,0,Coal Miner's Daughter,Universal Pictures,67182787,15000000,125,7.1,97,4.602,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",1980-03-07,16769
1980,53,Best Picture,0,The Elephant Man,Brooksfilms,26010864,5000000,124,8.0,1240,5.971,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1980-10-02,1955
1980,53,Best Picture,1,Ordinary People,Paramount,0,6000000,124,7.5,210,5.78,"[{'id': 18, 'name': 'Drama'}]",1980-09-19,16619
1980,53,Best Picture,0,Raging Bull,United Artists,23000000,18000000,129,7.9,1567,7.734,"[{'id': 18, 'name': 'Drama'}]",1980-11-14,1578
1980,53,Best Picture,0,Tess,Renn Productions,0,0,171,6.8,108,5.475,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1979-10-06,11121
1981,54,Best Picture,0,Atlantic City,Paramount,12729675,7200000,104,6.9,75,3.545,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1980-09-02,23954
1981,54,Best Picture,1,Chariots of Fire,The Ladd Company,58972904,5500000,123,6.9,321,6.38,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1981-05-15,9443
1981,54,Best Picture,0,On Golden Pond,Universal Pictures,19255967,0,109,7.5,158,5.127,"[{'id': 18, 'name': 'Drama'}]",1981-12-04,11816
1981,54,Best Picture,0,Raiders of the Lost Ark,Lucasfilm,389925971,18000000,115,7.8,5788,13.559,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",1981-06-12,85
1981,54,Best Picture,0,Reds,JRS Productions,40382659,32000000,195,7.2,110,4.577,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1981-12-25,18254
1982,55,Best Picture,0,E.T. the Extra-Terrestrial,Universal Pictures,792965326,10500000,115,7.4,5504,12.943,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",1982-06-11,601
1982,55,Best Picture,1,Gandhi,Goldcrest Films International,77737889,22000000,191,7.5,1046,7.752,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1982-11-30,783
1982,55,Best Picture,0,Missing,Universal Pictures,14000000,0,122,7.4,117,4.047,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1982-02-12,15600
1982,55,Best Picture,0,Tootsie,Mirage Enterprises,177200000,21000000,116,7.1,680,5.959,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1982-12-16,9576
1982,55,Best Picture,0,The Verdict,20th Century Fox,53977250,16000000,129,7.5,199,5.014,"[{'id': 18, 'name': 'Drama'}]",1982-12-08,24226
1983,56,Best Picture,0,The Big Chill,Columbia Pictures,0,0,105,7.1,200,5.035,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1983-09-09,12560
1983,56,Best Picture,0,The Dresser,N/A,0,0,118,6.6,20,1.044,"[{'id': 18, 'name': 'Drama'}]",1983-12-06,42122
1983,56,Best Picture,0,The Right Stuff,The Ladd Company,21500000,27000000,193,7.5,338,4.386,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1983-10-20,9549
1983,56,Best Picture,0,Tender Mercies,Antron Media Production,0,0,92,6.7,32,5.702,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",1983-04-02,42121
1983,56,Best Picture,1,Terms of Endearment,Paramount,0,8000000,132,7.2,287,5.935,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1983-11-20,11050
1984,57,Best Picture,1,Amadeus,Warner Bros. Pictures,51973029,18000000,160,8.0,1776,8.071,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10402, 'name': 'Music'}]",1984-10-26,279
1984,57,Best Picture,0,The Killing Fields,Goldcrest Films International,34700291,14400000,141,7.6,251,6.2,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",1984-11-02,625
1984,57,Best Picture,0,A Passage to India,Columbia Pictures,27187653,8000000,163,6.9,105,5.0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}]",1984-12-14,15927
1984,57,Best Picture,0,Places in the Heart,TriStar Pictures,0,0,111,7.3,45,2.278,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1984-09-11,13681
1984,57,Best Picture,0,A Soldier's Story,Caldix,21821347,6000000,101,6.7,68,3.184,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10752, 'name': 'War'}, {'id': 80, 'name': 'Crime'}]",1984-09-14,26522
1985,58,Best Picture,0,The Color Purple,Amblin Entertainment,146292009,15000000,154,7.8,595,7.172,"[{'id': 18, 'name': 'Drama'}]",1985-12-18,873
1985,58,Best Picture,0,Kiss of the Spider Woman,Hector Babenco Filmes,0,0,120,7.1,78,4.215,"[{'id': 18, 'name': 'Drama'}]",1985-07-26,11703
1985,58,Best Picture,1,Out of Africa,Universal Pictures,128499205,31000000,161,7.2,491,5.687,"[{'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",1985-12-20,606
1985,58,Best Picture,0,Prizzi's Honor,ABC Pictures,26657534,0,124,6.5,126,4.438,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1985-06-14,2075
1985,58,Best Picture,0,Witness,Paramount,68706993,12000000,113,7.0,613,7.538,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",1985-02-08,9281
1986,59,Best Picture,0,Children of a Lesser God,Paramount,31853080,0,119,7.0,107,3.969,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1986-09-13,1890
1986,59,Best Picture,0,Hannah and Her Sisters,Orion Pictures,40084041,6400000,107,7.6,369,5.006,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1986-02-07,5143
1986,59,Best Picture,0,The Mission,AMLF,17218023,24500000,126,7.3,489,4.579,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]",1986-09-29,11416
1986,59,Best Picture,1,Platoon,Hemdale Film Corporation,138530565,6000000,120,7.7,1843,10.467,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",1986-12-19,792
1986,59,Best Picture,0,A Room with a View,Curzon Film Distributors,20966644,3000000,117,7.1,280,5.697,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1985-12-13,11257
1987,60,Best Picture,0,Broadcast News,Amercent Films,51249404,20000000,133,6.8,146,4.508,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1987-12-16,12626
1987,60,Best Picture,0,Fatal Attraction,Paramount,320145693,14000000,119,6.7,519,5.037,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",1987-09-11,10998
1987,60,Best Picture,0,Hope and Glory,Columbia Pictures,0,0,113,6.7,64,3.049,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 35, 'name': 'Comedy'}, {'id': 36, 'name': 'History'}]",1987-09-03,32054
1987,60,Best Picture,1,The Last Emperor,Hemdale Film Corporation,43984230,23000000,163,7.5,547,14.812,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1987-10-21,746
1987,60,Best Picture,0,Moonstruck,Star Partners,80640528,0,102,6.8,297,6.462,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1987-12-18,2039
1988,61,Best Picture,0,The Accidental Tourist,Warner Bros. Pictures,0,0,121,6.2,83,4.977,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",1988-12-23,31052
1988,61,Best Picture,0,Dangerous Liaisons,Lorimar Film Entertainment,34670720,14000000,119,7.2,447,4.583,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1988-12-16,859
1988,61,Best Picture,0,Mississippi Burning,Orion Pictures,34604000,15000000,128,7.6,559,5.128,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1988-12-08,1632
1988,61,Best Picture,1,Rain Man,United Artists,412800000,25000000,134,7.7,2732,10.479,"[{'id': 18, 'name': 'Drama'}]",1988-12-11,380
1988,61,Best Picture,0,Working Girl,20th Century Fox,103173635,28000000,114,6.5,374,7.034,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1988-12-20,3525
1989,62,Best Picture,0,Born on the Fourth of July,Universal Pictures,161001698,14000000,145,6.9,638,6.28,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1989-12-20,2604
1989,62,Best Picture,0,Dead Poets Society,Touchstone Pictures,235860116,16400000,128,8.3,4866,11.643,"[{'id': 18, 'name': 'Drama'}]",1989-06-02,207
1989,62,Best Picture,1,Driving Miss Daisy,The Zanuck Company,145793296,7500000,99,7.2,553,7.744,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1989-12-13,403
1989,62,Best Picture,0,Field of Dreams,Universal Pictures,84431625,0,107,7.1,589,7.831,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",1989-04-21,2323
1989,62,Best Picture,0,My Left Foot: The Story of Christy Brown,Ferndale Films,14743391,645180,103,7.7,326,5.763,"[{'id': 18, 'name': 'Drama'}]",1989-07-21,10161
1990,63,Best Picture,0,Awakenings,Parkes/Lasker productions,52096475,0,120,7.7,937,6.485,"[{'id': 18, 'name': 'Drama'}]",1990-12-04,11005
1990,63,Best Picture,1,Dances with Wolves,Tig Productions,424208848,22000000,181,7.8,1680,8.313,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",1990-11-09,581
1990,63,Best Picture,0,Ghost,Paramount,505000000,22000000,127,7.0,2338,7.953,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",1990-07-12,251
1990,63,Best Picture,0,The Godfather: Part III,Paramount,136766062,54000000,162,7.3,2485,9.432,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1990-12-24,242
1990,63,Best Picture,0,Double Indemnity,Paramount,2500000,927262,107,8.2,644,5.554,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",1944-04-24,996
1991,64,Best Picture,0,Beauty and the Beast,Walt Disney Animation Studios,377350553,25000000,84,7.7,4942,13.705,"[{'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10402, 'name': 'Music'}]",1991-11-13,10020
1991,64,Best Picture,0,Bugsy,Baltimore Pictures,49114016,30000000,134,6.3,122,5.542,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",1991-12-10,10337
1991,64,Best Picture,0,JFK,Ixtlan Productions,205405498,40000000,189,7.7,774,6.952,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 36, 'name': 'History'}]",1991-12-20,820
1991,64,Best Picture,0,The Prince of Tides,Columbia Pictures,74787599,30000000,132,6.5,94,4.772,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1991-12-25,10333
1991,64,Best Picture,1,The Silence of the Lambs,Strong Heart/Demme Production,272742922,19000000,119,8.2,7256,3.797,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1991-02-01,274
1992,65,Best Picture,0,The Crying Game,Miramax,62548947,3705538,112,7.0,278,5.66,"[{'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1992-09-02,11386
1992,65,Best Picture,0,A Few Good Men,David Brown Productions,243240178,40000000,138,7.3,1387,7.447,"[{'id': 18, 'name': 'Drama'}]",1992-12-11,881
1992,65,Best Picture,0,Howards End,Merchant Ivory Productions,26126837,0,140,7.2,176,4.255,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1992-03-13,8293
1992,65,Best Picture,0,Scent of a Woman,Universal Pictures,134095253,31000000,157,7.5,1165,7.859,"[{'id': 18, 'name': 'Drama'}]",1992-12-23,9475
